"EmpNum";"Type";"First Name";"Last Name";"Birth Date"
"48";"Employee";"Sam";"Alden";"12-09-1985"
"";"Son";"";"Alden";""
"";"Son";"Tom";"Alden";"09-18-2018"
"2";"Employee";"Anita";"Andrews";"12-12-1985"
"";"Spouse";"";"Andrews";""
"";"Son";"Bill";"Andrews";"12-21-2010"
"";"Spouse";"Sam";"Andrews";"05-07-1983"
"22";"Employee";"Lisa";"Green";"03-09-1986"
"";"Spouse";"";"Green";""
"";"Son";"Martin";"Green";"09-12-2016"
"";"Spouse";"John";"Green";"03-09-1986"
"19";"Employee";"Larry";"Dawsen";"09-09-1986"
"";"Spouse";"";"Dawsen";""
"";"Spouse";"Barbra";"Dawsen";"09-09-1986"
"18";"Employee";"Jean";"Brady";"11-12-1986"
"";"Spouse";"";"Brady";""
"";"Daughter";"Jean";"Brady";"09-17-2017"
"";"Spouse";"Mark";"Brady";"11-12-1986"
"13";"Employee";"Luke";"Sanders";"09-09-1987"
"";"Spouse";"";"Sanders";""
"";"Daughter";"Ellen";"Sanders";"09-17-2017"
"";"Spouse";"Karen";"Sanders";"09-09-1987"
"1";"Employee";"Kelly";"Koberlein";"10-28-1988"
"";"Spouse";"";"Koberlein";""
"";"Daughter";"Jenny";"Koberlein";"01-15-2018"
"";"Spouse";"Ken";"Koberlein";"12-07-1985"
"9";"Employee";"Mark";"Wilson";"04-05-1990"
"";"Spouse";"";"Wilson";""
"";"Daughter";"Mary";"Wilson";"08-18-2015"
"";"Spouse";"Sandra";"Wilson";"04-05-1990"
"7";"Employee";"Katherine";"Weiss";"07-03-1990"
"";"Son";"";"Weiss";""
"";"Son";"Ken";"Weiss";"08-05-2015"
"11";"Employee";"Frank";"Garsen";"09-09-1990"
"";"Spouse";"";"Garsen";""
"";"Spouse";"Gretta";"Garsen";"09-09-1990"
"6";"Employee";"Frank";"Petersen";"01-09-1995"
"";"Spouse";"";"Petersen";""
"";"Son";"Jack";"Petersen";"08-17-2018"
"";"Spouse";"Fran";"Petersen";"01-09-1995"
"Total Employees";"11";"Total Family Members";"29"
